"entity_name","case_no","date","status"
"- DigiPower OÜ (-- 16029655) (abandoned)","C201619","12.08.2020","finished"
"10 Distribution Group OÜ","C201633","14.08.2020","finished"
"10 Distribution Group OÜ","C210880","14.08.2021","finished"
"1D Games OÜ","C201822","17.09.2020","finished"
"1DOX Digital OÜ","C220297","31.03.2022","in progress"
"1Dream OÜ","C210650","04.06.2021","finished"
"1Dream OÜ","C202219","05.12.2020","finished"
"1Dream OÜ","C201166","04.06.2020","finished"
"1Dream OÜ","C210688","17.06.2021","cancelled"
"1Team OÜ","C210626","29.05.2021","finished"
"1Team OÜ","C201123","29.05.2020","finished"
"1Team OÜ","C220477","29.05.2022","finished"
"24K CORPORATION OÜ","C200183","28.01.2020","finished"
"24K CORPORATION OÜ","C201394","06.07.2020","finished"
"404 IT Consultancy OÜ","C230413","17.04.2023","in progress"
"404 IT Consultancy OÜ","C220531","14.06.2022","finished"
"4Sport Solutions OÜ","C201667","24.08.2020","finished"
"4Sport Solutions OÜ","C220710","24.08.2022","finished"
"4Sport Solutions OÜ","C210901","24.08.2021","finished"
"A-Trade LTD OÜ","C211237","30.11.2021","finished"
"A-Trade LTD OÜ","C202264","15.12.2020","cancelled"
"A-Trade LTD OÜ","C202187","30.11.2020","finished"
"A-Trade LTD OÜ","C221212","30.11.2022","finished"
"A2 Solutions OÜ","C202304","25.12.2020","finished"
"A2 Solutions OÜ","C192423","25.12.2019","finished"
"A2 Solutions OÜ","C211314","25.12.2021","finished"
"A2 Solutions OÜ","C220639","28.07.2022","finished"
"A2Trade Limited OÜ","C201491","21.07.2020","cancelled"
"Abover OÜ","C210810","24.07.2021","finished"
"Abover OÜ","C201523","24.07.2020","finished"
"Abover OÜ","C220628","24.07.2022","finished"
"Accreditek OÜ","C220286","28.03.2022","finished"
"Accreditek OÜ","C230137","14.02.2023","in progress"
"ACorporation LTD OÜ","C220131","09.02.2022","finished"
"ACROWN CONSULTING OÜ","C211173","10.11.2021","finished"
"ACROWN CONSULTING OÜ","C221107","10.10.2022","finished"
"ACROWN CONSULTING OÜ","C220248","15.03.2022","finished"
"AdaraPlatform OÜ","C201106","27.05.2020","finished"
"AE Services Limited OÜ","C201084","26.05.2020","finished"
"Aegion Solutions OÜ","C201049","21.05.2020","finished"
"AENX Platform Ltd OÜ","C201128","29.05.2020","finished"
"AENX Platform Ltd OÜ","C211061","05.10.2021","cancelled"
"AENX Platform Ltd OÜ","C210802","23.07.2021","finished"
"AENX Platform Ltd OÜ","C230341","27.03.2023","in progress"
"AENX Platform Ltd OÜ","C220627","23.07.2022","finished"
"AENX Platform Ltd OÜ","C201514","23.07.2020","finished"
"AffHub OÜ","C230254","16.03.2023","in progress"
"AffHub OÜ","C210321","12.03.2021","finished"
"AffHub OÜ","C230222","14.03.2023","finished"
"AffHub OÜ","C220346","13.04.2022","finished"
"Agence Sevigne OÜ","C211198","17.11.2021","finished"
"Agence Sevigne OÜ","C230294","20.03.2023","not started"
"Agence Sevigne OÜ","C202074","04.11.2020","finished"
"Agence Sevigne OÜ","C221181","17.11.2022","finished"
"agroforestry systems MTÜ","C220324","06.04.2022","finished"
"agroforestry systems MTÜ","C230173","26.02.2023","in progress"
"Agromine OÜ","C221269","29.12.2022","in progress"
"AIC ESTONIA OÜ","C202178","26.11.2020","finished"
"AKG Sports OÜ","C211213","20.11.2021","finished"
"AKG Sports OÜ","C230296","20.03.2023","finished"
"AKG Sports OÜ","C221189","20.11.2022","finished"
"AKG Sports OÜ","C202144","20.11.2020","finished"
"AldarInvest OÜ","C221267","28.12.2022","in progress"
"AldarInvest OÜ","C202313","28.12.2020","finished"
"AldarInvest OÜ","C211323","28.12.2021","finished"
"AlephLink Solutions Ltd. OÜ","C201435","09.07.2020","finished"
"Alevana Services OÜ","C201053","21.05.2020","finished"
"Alfonso Leon Chaparro","C210408","05.04.2021","finished"
"AlgoDriven OÜ","C210366","24.03.2021","finished"
"AlgoDriven OÜ","C230166","22.02.2023","finished"
"AlgoDriven OÜ","C230320","22.03.2023","not started"
"AlgoDriven OÜ","C220273","24.03.2022","finished"
"Alpha Air Agency OÜ","C220712","25.08.2022","cancelled"
"Alpha Air Agency OÜ","C220727","29.08.2022","finished"
"AlphaNord Consulting OÜ","C220154","16.02.2022","finished"
"AlphaNord Consulting OÜ","C201899","03.10.2020","finished"
"AlphaNord Consulting OÜ","C221086","03.10.2022","finished"
"AlphaNord Consulting OÜ","C211051","03.10.2021","finished"
"ALT corporate UAB","C220774","13.09.2022","finished"
"Ametheus Holdings Limited OÜ","C210143","01.02.2021","cancelled"
"Ametheus Holdings Limited OÜ","C230011","05.01.2023","in progress"
"Ametheus Holdings Limited OÜ","C220629","24.07.2022","cancelled"
"Ametheus Holdings Limited OÜ","C210811","24.07.2021","finished"
"Ametheus Holdings Limited OÜ","C230381","07.04.2023","in progress"
"Ametheus Holdings Limited OÜ","C201524","24.07.2020","finished"
"AMIM Management OÜ","C230393","12.04.2023","in progress"
"AMYGDALAHEALTH OÜ","C220110","02.02.2022","not started"
"Anavrit OÜ","C230189","03.03.2023","in progress"
"Anavrit OÜ","C210402","02.04.2021","finished"
"Anavrit OÜ","C220306","02.04.2022","finished"
"AnitaSystems OÜ","C220031","12.01.2022","finished"
"AnitaSystems OÜ","C230391","11.04.2023","not started"
"AnitaSystems OÜ","C210051","12.01.2021","finished"
"AnitaSystems OÜ","C230030","12.01.2023","finished"
"Anmageavch OÜ","C201901","04.10.2020","finished"
"Anmageavch OÜ","C211054","04.10.2021","finished"
