"entity_name","entity_regno","entity_regdate","vatid","capital","entity_contact_type","entity_contact","entity_contact_address","entity_contact_address_city","entity_contact_address_country","entity_contact_address_zip","entity_contact_delivery_person","entity_contact_delivery_email","entity_contact_delivery_phone","entity_contact_note"
"10 Distribution Group OÜ",11413202,"08.08.2007","EE101172976",2556,"address","","Türi tn 7","Kesklinna linnaosa, Tallinn, Harju maakond","EE",11314,"","","",""
"10 Distribution Group OÜ",11413202,"08.08.2007","EE101172976",2556,"ariregistriaddres","","Türi tn 7","Tallinn","EE",11314,"","","",""
"10 Distribution Group OÜ",11413202,"08.08.2007","EE101172976",2556,"email","info@10dg.eu","","","","","","","",""
"10 Distribution Group OÜ",11413202,"08.08.2007","EE101172976",2556,"notificationemail","jan@nordic.ee","","","","","","","","kinnitatud 05.09.18"
"1D Games OÜ",14411741,"19.01.2018","",2500,"address","","Männimäe","Kuusalu vald","EE",74626,"","","",""
"1D Games OÜ",14411741,"19.01.2018","",2500,"ariregistriaddres","","Männimäe","Kuusalu vald","EE",74626,"","","",""
"1D Games OÜ",14411741,"19.01.2018","",2500,"email","info@nordicconsult.ee","","","","","","","",""
"1DOX Digital OÜ",12595949,"09.01.2014","EE102244748",2500,"address","","Kaarli pst 1","Tallinn","EE",10119,"","","",""
"1DOX Digital OÜ",12595949,"09.01.2014","EE102244748",2500,"ariregistriaddres","","Kaarli pst 1","Tallinn","EE",10119,"","","",""
"1DOX Digital OÜ",12595949,"09.01.2014","EE102244748",2500,"email","info@1dox.ee","","","","","","","",""
"1Dream OÜ",14138417,"24.10.2016","EE101995836",2500,"ariregistriaddres","","Karu tn 14-8","Tallinn","EE",10120,"","","",""
"1Dream OÜ",14138417,"24.10.2016","EE101995836",2500,"email","maximvictor@gmail.com","","","","","","","",""
"1Dream OÜ",14138417,"24.10.2016","EE101995836",2500,"notificationemail","maximvictor@gmail.com","","","","","","","",""
"1Team OÜ",14468497,"12.04.2018","","2500 EUR","ariregistriaddres","","","","","","","","",""
"1Team OÜ",14468497,"12.04.2018","","2500 EUR","email","1teamou@gmail.com","","","","","","","",""
"1Team OÜ",14468497,"12.04.2018","","2500 EUR","notificationemail","lindsay.watson@protonmail.com","","","","","","","",""
"1Team OÜ",14468497,"12.04.2018","","2500 EUR","phone","+40 721543391","","","","","","","",""
"24K CORPORATION OÜ",14776618,"06.08.2019","",2500,"address","","Peterburi tee 2c/2","Lasnamäe linnaosa, Tallinn, Harju maakond","EE",11415,"","","",""
"24K CORPORATION OÜ",14776618,"06.08.2019","",2500,"ariregistriaddres","","Peterburi tee 2c/2","Tallinn","EE",11415,"","","",""
"24K CORPORATION OÜ",14776618,"06.08.2019","",2500,"email","agenconsulting.ou@gmail.com","","","","","","","",""
"24K CORPORATION OÜ",14776618,"06.08.2019","",2500,"notificationemail","edouard.dupasquier@ad-conseil.lv","","","","","","","",""
"404 IT Consultancy OÜ",16521646,"17.06.2022","EE102522486",2500,"address","","Laposa utca 9/B, Balatonalmádi","","EE",8220,"","","",""
"404 IT Consultancy OÜ",16521646,"17.06.2022","EE102522486",2500,"ariregistriaddres","","Laposa utca 9/B, Balatonalmádi","","EE",8220,"","","",""
"404 IT Consultancy OÜ",16521646,"17.06.2022","EE102522486",2500,"email","balazs.gergely88.uk@gmail.com","","","","","","","",""
"404 IT Consultancy OÜ",16521646,"17.06.2022","EE102522486",2500,"notificationemail","balazs.gergely88.uk@gmail.com","","","","","","","",""
"4Sport Solutions OÜ",12350490,"24.09.2012","",2500,"address","","Roosikrantsi tn 2-111","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"4Sport Solutions OÜ",12350490,"24.09.2012","",2500,"ariregistriaddres","","Roosikrantsi tn 2-111","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"4Sport Solutions OÜ",12350490,"24.09.2012","",2500,"email","rsa.estonia@hotmail.com","","","","","","","",""
"4Sport Solutions OÜ",12350490,"24.09.2012","",2500,"notificationemail","arek@revalsport.eu","","","","","","","",""
"A-Trade LTD OÜ",14877907,"31.12.2019","","2500 EUR","address","","Roosikrantsi tn 2-1243","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"A-Trade LTD OÜ",14877907,"31.12.2019","","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-1243","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"A-Trade LTD OÜ",14877907,"31.12.2019","","2500 EUR","email","1243@000.ee","","","","","","","",""
"A-Trade LTD OÜ",14877907,"31.12.2019","","2500 EUR","notificationemail","anton-borovikov@mail.ru","","","","","","","",""
"A2 Solutions OÜ",12984065,"25.01.2016","","0 EUR","ariregistriaddres","","","","","","","","",""
"A2 Solutions OÜ",12984065,"25.01.2016","","0 EUR","email","mb@a2-cargo.com","","","","","","","",""
"A2 Solutions OÜ",12984065,"25.01.2016","","0 EUR","notificationemail","mb@a2-cargo.com","","","","","","","",""
"Abover OÜ",12897828,"18.08.2015","EE101813523","2500 EUR","address","","Roosikrantsi tn 2-300","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Abover OÜ",12897828,"18.08.2015","EE101813523","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-300","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Abover OÜ",12897828,"18.08.2015","EE101813523","2500 EUR","email","K300@000.ee","","","","","","","",""
"Abover OÜ",12897828,"18.08.2015","EE101813523","2500 EUR","notificationemail","ak@abover.nl","","","","","","","","kinnitatud 06.09.18"
"Accreditek OÜ",16470707,"30.03.2022","EE102483619",2500,"address","","Laposa utca 9/B, Balatonalmádi","","EE",8220,"","","",""
"Accreditek OÜ",16470707,"30.03.2022","EE102483619",2500,"ariregistriaddres","","Laposa utca 9/B, Balatonalmádi","","EE",8220,"","","",""
"Accreditek OÜ",16470707,"30.03.2022","EE102483619",2500,"email","balazs.gergely88.uk@gmail.com","","","","","","","",""
"Accreditek OÜ",16470707,"30.03.2022","EE102483619",2500,"notificationemail","balazs.gergely88.uk@gmail.com","","","","","","","",""
"ACorporation LTD OÜ",14592694,"24.10.2018","",2500,"address","","Roosikrantsi tn 2-620k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
